,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injuries_Rate,Uninjured_Rate
65928,20090217X95726,Accident,ERA09WA166,2009-02-07,"Coari, Brazil",Brazil,SWKO,"Coari, Amazonas",Fatal,Destroyed,PR-SAE,Embraer,EMB110,No,2.0,Turbo Prop,,24.0,4.0,0.0,0.0,,,,03-11-2020,28.0,0.8571428571428571,0.0
65940,20090213X13613,Accident,DCA09MA027,2009-02-13,"Clarence Center, NY",United States,BUF,Buffalo-Niagara International,Fatal,Destroyed,N200WQ,Bombardier,DHC-8-402,No,2.0,Turbo Prop,,49.0,0.0,0.0,0.0,VMC,,"The captains inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew failure to adhere to sterile cockpit procedures, (3) the captains failure to effectively manage the flight, and (4) Colgan Airs inadequate procedures for airspeed selection and management during approaches in icing conditions.",30-04-2021,49.0,1.0,0.0
65964,20090220X30535,Accident,DCA09WA029,2009-02-20,"Tokyo, Japan",Japan,NRT,Narita International Airport,Non-Fatal,,N676NW,Boeing,747,No,,,,0.0,34.0,4.0,384.0,,,,25-09-2020,422.0,0.0,0.909952606635071
65971,20090223X03403,Incident,WPR09IA123,2009-02-21,"Salt Lake City, UT",United States,SLC,Salt Lake City Int. Airport,Non-Fatal,Minor,N270YV,Embraer,EMB-120ER,No,2.0,Turbo Prop,,0.0,0.0,0.0,4.0,VMC,,The flight crew's failure to maintain clearance from the stationary vehicle while taxiing.,25-09-2020,4.0,0.0,1.0
65991,20090225X82204,Accident,DCA09RA030,2009-02-25,"Amsterdam, Netherlands (the)",Netherlands,,,Fatal,Destroyed,TC-JGE,Boeing,B737-800,No,2.0,,,9.0,53.0,27.0,45.0,,,,03-11-2020,134.0,0.06716417910447761,0.3358208955223881
65998,20090306X84920,Incident,DCA09WA036,2009-02-27,",",United States,,,Non-Fatal,,PK-YTX,Boeing,737,No,2.0,,,0.0,0.0,0.0,131.0,,,.,03-11-2020,131.0,0.0,1.0
66006,20090303X74824,Accident,DCA09FA033,2009-02-28,"Tallahassee, FL",United States,TLH,Tallahassee Regional Airport,Non-Fatal,Substantial,N830AS,Bombardier,CRJ,No,2.0,,,0.0,0.0,0.0,2.0,,,"An electrical anomaly in the top portion of the JB-1 junction box resulting in ignition of adjacent combustible materials, including insulation blankets, and a flexible oxygen line.",25-09-2020,2.0,0.0,1.0
66021,20090305X25029,Accident,DCA09WA034,2009-03-04,"Niigata, Japan",Japan,,,Non-Fatal,,FGSPD,Boeing,777,No,2.0,,,0.0,0.0,2.0,275.0,,,,03-11-2020,277.0,0.0,0.9927797833935018
66228,20090421X81417,Accident,CEN09LA256,2009-04-18,"McAllen, TX",United States,KMFE,McAllen Miller International,Non-Fatal,,N27722,Boeing,737-724,No,2.0,Turbo Jet,,0.0,3.0,1.0,105.0,VMC,,The injured passenger's failure to comply with the requirement to remain seated with a fastened seatbelt.,25-09-2020,109.0,0.0,0.963302752293578
66240,20090424X50554,Accident,DCA09FA045,2009-04-20,"New York, NY",United States,KJFK,John F. Kennedy International,Non-Fatal,Substantial,CN-RNT,Boeing,767,No,2.0,Turbo Fan,,0.0,0.0,0.0,220.0,VMC,,"The first officers input of full nose down elevator at touchdown.
Contributing to the accident was the gusty wind conditions.",25-09-2020,220.0,0.0,1.0
66281,20090428X52047,Accident,DCA09WA046,2009-04-27,"Guadalajara, Mexico",Mexico,GDL,Guadalajara,Non-Fatal,Substantial,XA-MAF,Boeing,737,No,2.0,,,0.0,4.0,0.0,112.0,,,,03-11-2020,116.0,0.0,0.9655172413793104
66290,20090628X42219,Accident,DCA09WA060,2009-04-29,"Kwilu, Bandundu, Central Africa",Central Africa,,,Fatal,Destroyed,TL-ADM,Boeing,737,No,2.0,,Ferry,7.0,0.0,0.0,0.0,,,,03-11-2020,7.0,1.0,0.0
66309,20090505X04553,Accident,DCA09FA047,2009-05-04,"Denver, CO",United States,KDEN,Denver International,Non-Fatal,Substantial,N311US,Airbus,A320,No,2.0,Turbo Fan,,0.0,4.0,0.0,150.0,VMC,,"The first officers excessive pitch-up of the airplane while landing with a tailwind, which resulted in a tailstrike following a bounced landing. Contributing to the bounced landing were a high descent rate and excessive thrust resulting from the first officers delay in retarding the thrust levers to idle, thereby providing residual thrust and preventing spoiler deployment.",25-09-2020,154.0,0.0,0.974025974025974
66316,20090507X00926,Accident,DCA09FA048,2009-05-06,"Baltimore, MD",United States,KBWI,Baltimore,Non-Fatal,Substantial,N139WA,Boeing,DC-10,No,3.0,Turbo Fan,,0.0,11.0,1.0,168.0,VMC,,"the captains inappropriate control inputs following a firm landing, resulting in two hard nose-gear impacts before executing a go-around.  

Contributing to the inappropriate control inputs was the captains fatigue and physical discomfort; and a possible lack of practical consolidation of skills and experience due to a protracted and fragmented training period.",25-09-2020,180.0,0.0,0.9333333333333333
66356,20090513X31333,Incident,CEN09IA294,2009-05-13,"Houston, TX",United States,HOU,William P. Hobby Airport,Non-Fatal,Minor,N371SW,Boeing,737,No,2.0,Turbo Fan,,0.0,2.0,0.0,51.0,VMC,,"The pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.",25-09-2020,53.0,0.0,0.9622641509433962
66381,20090724X12005,Accident,ERA09LA418,2009-05-16,"Cuba, Cuba",Cuba,,,Non-Fatal,,N657DL,Boeing,757,No,2.0,Turbo Fan,,0.0,4.0,1.0,184.0,IMC,,An unanticipated inflight encounter with turbulence.,25-09-2020,189.0,0.0,0.9735449735449735
66388,20090526X40613,Accident,WPR09CA265,2009-05-17,"Cottonwood, AZ",United States,P52,Cottonwood,Non-Fatal,Substantial,N4787V,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's inadequate compensation for the crosswinds during the landing roll.,25-09-2020,2.0,0.0,1.0
66394,20090519X20324,Accident,WPR09LA247,2009-05-19,"Joshua Tree, CA",United States,L80,Roy Williams Airport,Non-Fatal,Substantial,N450JN,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,An in-flight fire in the engine compartment for undetermined reasons.,25-09-2020,1.0,0.0,1.0
66398,20090527X25328,Accident,DCA09CA051,2009-05-20,"San Juan, PR",United States,,,Non-Fatal,,N129DL,Boeing,767-332,No,2.0,Turbo Fan,,0.0,4.0,1.0,263.0,VMC,,Inadvertent encounter with convective turbulence while in cruise.,25-09-2020,268.0,0.0,0.9813432835820896
66406,20090522X80352,Accident,WPR09LA255,2009-05-21,"Los Angeles, CA",United States,LAX,Los Angeles Int'l Airport,Non-Fatal,Substantial,N843AE,Embraer,EMB-135,No,2.0,,,0.0,0.0,0.0,47.0,VMC,,The flight crew's failure to adequately monitor and maintain clearance from a parked aircraft while taxiing. Contributing to the accident was an improperly parked airplane that encroached upon the taxiway area.,25-09-2020,47.0,0.0,1.0
66413,20090624X02042,Incident,DCA09IA055,2009-05-22,"Los Cayes, Haiti",Haiti,,Los Cayes,Non-Fatal,,PT-MVB,Airbus,A330,No,2.0,Turbo Fan,,0.0,0.0,0.0,176.0,VMC,,"The final report for this incident was combined with and can be found under NTSB Investigation number, DCA09IA064.",25-09-2020,176.0,0.0,1.0
66465,20090601X72555,Accident,DCA09RA052,2009-06-01,"Atlantic, France",France,,,Fatal,Destroyed,F-GZCP,Airbus,A330,No,2.0,,,228.0,0.0,0.0,0.0,,,.,03-11-2020,228.0,1.0,0.0
66479,20090612X13814,Incident,OPS09IA007,2009-06-03,"Cleveland, OH",United States,CLE,Cleveland Hopkins Intl Airport,Non-Fatal,,N16963,Embraer,EMB-145LR,No,2.0,Turbo Fan,,0.0,0.0,0.0,163.0,VMC,,"The ground controller did not issue taxi instructions in accordance with FAA Order 7110.65, paragraph 3-7-2.  The local controller did not scan the runways prior to issuing a taxi into position and hold instruction to SWA1080 as required by FAA Order 7110.65 paragraph 3-1-12.  The local controller did not cancel takeoff clearance for BTA2941 as required by FAA Order 7110.65, paragraph 3-9-10.",25-09-2020,163.0,0.0,1.0
66489,20090626X74656,Incident,DCA09WA058,2009-06-05,"Taipei, Taiwan, Taiwan (Province of China)",Taiwan,RCTP,Taoyuan International Airport,Non-Fatal,Minor,JA-613J,Boeing,767,No,2.0,,,0.0,0.0,0.0,210.0,,,<br /><br />,03-11-2020,210.0,0.0,1.0
66517,20090610X65600,Incident,ENG09IA007,2009-06-10,"Denver, CO",United States,KDEN,Denver International Airport,Non-Fatal,Minor,N570UA,Boeing,757-222,No,2.0,Turbo Jet,,0.0,0.0,0.0,192.0,,,"There was a malfunction of the electronic engine control (EEC) burner pressure (Pb) sensor that had an abnormally high indication that resulted in an excessive amount of fuel being pumped into the engine that was still at a sub-idle condition.  Because the engine was still accelerating to idle, the limited airflow through the engine engine was insufficient for the amount of fuel and resulted in a tailpipe fire.  The cause of the EEC's Pb sensor fault could not be determined.",25-09-2020,192.0,0.0,1.0
66521,20090611X13753,Incident,ERA09IA338,2009-06-11,"Atlanta, GA",United States,ATL,Hartsfield Jackson ATL Inter.,Non-Fatal,Minor,N857AS,Bombardier,CL-600-2B1,No,2.0,Turbo Fan,,0.0,0.0,0.0,22.0,VMC,,The failure of the left main landing gear to extend due to high levels of particulate contamination in the hydraulic fluid.,25-09-2020,22.0,0.0,1.0
66556,20090826X84257,Incident,ENG09IA011,2009-06-14,"Diyarbakir, OF",Turkey,LTCC,Diyarbakir Airport,Non-Fatal,,TC-TLA,Boeing,737,No,2.0,Turbo Fan,,0.0,2.0,0.0,0.0,VMC,,"An uncommanded elevator surface deflection as a result of a left elevator PCU input arm assembly jam due to FOD lodged between the input arm assembly and the PCU housing. The FOD was a roller element from an elevator upper torque tube output crank bearing, but how or when the roller element liberated from its bearing assembly could not be determined.

Contributing to the survivability of this incident was the flight crews immediate actions in response to the elevator control system jam.",30-04-2021,2.0,0.0,0.0
66576,20090619X84742,Incident,OPS09IA008,2009-06-18,"Boston, MA",United States,,,Non-Fatal,,N662AW,Airbus,A320,No,,Turbo Fan,,0.0,0.0,0.0,89.0,,,"The vehicle operator's failure to follow the designated haul route to the construction site and his failure to adhere to airport driving procedures, which led to missed visual cues and lack of required communication prior to crossing the active runway. Contributing to the incident was the vehicle operator's distraction.",25-09-2020,89.0,0.0,1.0
66584,20090629X84637,Incident,DCA09WA062,2009-06-19,"North Bay, Canada",Canada,,,Non-Fatal,,SP-LPA,Boeing,767,No,2.0,,,0.0,0.0,0.0,216.0,,,,03-11-2020,216.0,0.0,1.0
66613,20090706X72654,Incident,DCA09IA064,2009-06-23,"Kagoshima, Japan",Japan,,Kagoshima,Non-Fatal,,N805NW,Airbus,A330-323,No,2.0,Turbo Fan,,0.0,0.0,0.0,217.0,IMC,,"Brief and temporary blockage of the pitot probes in cruise flight, most likely due to ice crystals aloft, leading to erroneous airspeed indications and airplane automation degradation as designed. 

Contributing to the incidents were design features of the Thales AA probes which left them more susceptible to high altitude ice crystal icing than other approved pitot probe designs.",25-09-2020,217.0,0.0,1.0
66639,20090806X31035,Incident,OPS09IA009,2009-06-26,"Cleveland, OH",United States,CLE,Cleveland/Hopkins Int'l Airpor,Non-Fatal,,N375PH,Bombardier,DHC-8-202,No,2.0,Turbo Prop,,0.0,0.0,0.0,66.0,VMC,,"The local controller did not visually scan the runways and ensure that the E145 had crossed runway 24L prior to issuing a takeoff clearance to the DH8, did not ensure separation between the two airplanes, and did not cancel takeoff clearance for the DH8 in a timely manner.",25-09-2020,66.0,0.0,1.0
66650,20090628X32005,Accident,DCA09WA063,2009-06-29,"Moroni, China",China,FMCH,Prince Said Ibrahim Intl.,Fatal,Destroyed,7O-ADJ,Airbus,A310,No,2.0,,,152.0,0.0,1.0,0.0,,,,03-11-2020,153.0,0.9934640522875817,0.0
66655,20090701X41448,Accident,ERA09CA374,2009-06-29,"Quinton, VA",United States,W96,New Kent County Airport,Non-Fatal,Substantial,N38978,Boeing,A75N1(PT17),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A loss of directional control on landing for undetermined reasons.,25-09-2020,1.0,0.0,1.0
66700,20090706X85516,Accident,WPR09CA328,2009-07-05,"Gig Harbor, WA",United States,KTIW,Tacoma Narrows Airport,Non-Fatal,Substantial,N1431C,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's inadequate compensation for the crosswind and failure to maintain directional control.,25-09-2020,2.0,0.0,1.0
66731,20090712X94532,Accident,ERA09LA396,2009-07-10,"Fort Myers, FL",United States,RSW,Southwest Florida Internationa,Non-Fatal,,N606JB,Airbus,A320-232,No,2.0,Turbo Fan,,0.0,2.0,2.0,149.0,VMC,,An inadvertent in-flight encounter with turbulence during approach. Contributing to the accident was the passengers' failure to follow the instructions of the illuminated seatbelt sign.,25-09-2020,153.0,0.0,0.9738562091503268
66745,20090724X34459,Accident,CEN09LA461,2009-07-11,"Indianapolis, IN",United States,IND,Indianapolis International,Non-Fatal,,N120HQ,Embraer,ERJ-170-20,No,2.0,Turbo Fan,,0.0,0.0,1.0,83.0,IMC,,"The passenger's failure to comply with crewmember instructions to remain seated while the airplane was in turbulent weather conditions, resulting in an injury to the passenger.",25-09-2020,84.0,0.0,0.9880952380952381
66757,20090714X83900,Accident,DCA09FA065,2009-07-13,"Charleston, WV",United States,CRW,"Yeager Airport, Charleston, WV",Non-Fatal,Substantial,N387SW,Boeing,737,No,2.0,,,0.0,0.0,0.0,131.0,,,Fuselage skin failure due to preexisting fatigue at a chemically milled step.,25-09-2020,131.0,0.0,1.0
66789,20091105X31734,Incident,DCA10WA009,2009-07-17,"Stansted, United Kingdom",United Kingdom,,,Non-Fatal,,EI-DLJ,Boeing,737,No,,,,0.0,0.0,1.0,2.0,,,,03-11-2020,3.0,0.0,0.6666666666666666
66810,20090721X62037,Incident,DCA09WA066,2009-07-20,"Keflavik, Iceland",Iceland,BIKF,Keflavik,Non-Fatal,Minor,N658UA,Boeing,767,No,2.0,,,0.0,0.0,0.0,2.0,VMC,,,03-11-2020,2.0,0.0,1.0
66855,20090728X71721,Accident,DCA09FA068,2009-07-27,"Norfolk, VA",United States,,,Non-Fatal,,N135HQ,Embraer,EMB170,No,2.0,Turbo Fan,,0.0,1.0,1.0,85.0,VMC,,an inadvertent encounter with convective turbulence that resulted in serious injuries to a flight attendant.,25-09-2020,87.0,0.0,0.9770114942528736
66895,20090803X92750,Accident,ERA09LA433,2009-08-01,"Livermore Falls, ME",United States,B10,Bowman Field Airport,Non-Fatal,Substantial,N49778,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,A loss of engine power for undetermined reasons.,25-09-2020,2.0,0.0,1.0
66912,20090810X21314,Incident,DCA09IA071,2009-08-03,"Bavaro, Las Americas",Dominican Republic,,,Non-Fatal,,N76156,Boeing,767-224,No,2.0,Turbo Jet,,0.0,33.0,0.0,146.0,VMC,,"The flight crew's inadvertent flight through the top of a convective updraft that resulted in an encounter with convective induced turbulence. Contributing to the severity of the incident was the unrestrained status of several passengers, contrary to the lighted seat belt sign.",25-09-2020,179.0,0.0,0.8156424581005587
66913,20090804X35204,Accident,WPR09LA384,2009-08-04,"Happy Jack, AZ",United States,,,Fatal,Substantial,N5195N,Boeing,E75,No,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain airspeed while maneuvering which resulted in an inadvertent stall/spin. Contributing to the accident was the high density altitude.,25-09-2020,2.0,0.5,0.0
66916,20090805X42956,Accident,DCA09CA069,2009-08-04,"Louisville, KY",United States,,,Non-Fatal,Minor,N8543F,Bombardier,CL-600-2B19,No,2.0,Turbo Fan,,0.0,1.0,1.0,25.0,IMC,,an inadvertent encounter with convective turbulence.,25-09-2020,27.0,0.0,0.9259259259259259
66929,20090806X21108,Accident,ERA09LA444,2009-08-06,"Fayetteville, NC",United States,,,Non-Fatal,,N328EN,Boeing,DHC-8-311,No,2.0,Turbo Prop,,0.0,0.0,1.0,32.0,VMC,,An in-flight encounter with convective clouds resulting in moderate turbulence and serious injury to a flight attendant.,25-09-2020,33.0,0.0,0.9696969696969697
66962,20090810X22633,Accident,CEN09CA507,2009-08-10,"Salina, KS",United States,KSLN,Salina Municipal,Non-Fatal,Substantial,N75263,Boeing,A75L300,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain directional control during a touch-and-go.,25-09-2020,1.0,0.0,0.0
66965,20090811X50316,Accident,DCA09WA072,2009-08-10,"Tokyo, Japan",Japan,HND,Tokyo International Airport,Non-Fatal,Substantial,JA56AN,Boeing,737,No,2.0,Turbo Fan,,0.0,0.0,0.0,153.0,,,,03-11-2020,153.0,0.0,1.0
67027,20090826X11036,Incident,ENG09WA012,2009-08-21,"Launceton, Tasmania, Australia",Australia,,,Non-Fatal,,VH-VOC,Boeing,737,No,2.0,Turbo Fan,,0.0,0.0,0.0,2.0,,,,03-11-2020,2.0,0.0,1.0
67068,20090828X61756,Accident,ERA09LA488,2009-08-27,"Inverness, FL",United States,,,Non-Fatal,,N994AT,Boeing,717-200,No,2.0,Turbo Jet,,0.0,0.0,1.0,85.0,IMC,,"The flight crew's encounter with convective turbulence. Contributing to the accident was the failure of the operator's dispatch department to provide the flightcrew with current adverse weather information along the planned route of flight. Also contributing was the failure of the flightcrew to provide relevant forecast information to the cabin crew, and their failure to detect and avoid the existing convective conditions.",25-09-2020,86.0,0.0,0.9883720930232558
67110,20090910X53412,Incident,ENG09IA017,2009-09-03,"Nassau, Bahamas",Bahamas,MYNN,Lynden Pindling International,Non-Fatal,Minor,N258JB,Embraer,ERJ-190-100-IGW,No,2.0,Turbo Fan,,0.0,6.0,0.0,0.0,,,failure of the engine high pressure turbine active clearance control valve fuel rod supply tube coupling seal due to a cross-threaded B-nut as installed during original manufacture.,25-09-2020,6.0,0.0,0.0
67151,20090909X82446,Incident,ENG09IA014,2009-09-08,"Los Angeles, CA",United States,KLAX,Los Angeles International,Non-Fatal,Minor,N670SW,Boeing,737,No,2.0,Turbo Fan,,0.0,0.0,0.0,142.0,VMC,,The failure of the right main landing gear inboard axle due to fatigue cracking as a result of fretting damage in one of the brake mounting bolt holes.,25-09-2020,142.0,0.0,1.0
67201,20090921X73211,Incident,ENG09IA018,2009-09-18,"Newark, NJ",United States,EWR,Newark Liberty Airport,Non-Fatal,Minor,N66051,Boeing,767,No,2.0,,,0.0,0.0,0.0,235.0,VMC,,Failure of Main Landing Gear (MLG) truck beam was due to contamination of the inner surface corrosion protective layers from hydraulic fluid and deice fluid that resulted in corrosion and intergranular stress corrosion cracking.,25-09-2020,235.0,0.0,1.0
67230,20091028X63731,Incident,DCA10WA002,2009-09-24,"Bologna, Italy",Italy,LIPE,Bologna Airport,Non-Fatal,,TF-BBD,Boeing,737,No,2.0,,,0.0,0.0,0.0,2.0,,,,03-11-2020,2.0,0.0,1.0
67250,20090929X61856,Accident,ERA09LA538,2009-09-27,"Vineyard Haven, MA",United States,MVY,Martha's Vineyard,Non-Fatal,Substantial,N190MP,Bombardier,CL-600-2B16,No,2.0,Turbo Fan,Personal,0.0,0.0,0.0,4.0,IMC,,"The pilot's improper flare while landing in gusting wind, which resulted in a hard landing.",25-09-2020,4.0,0.0,1.0
67261,20091028X00540,Incident,ENG10WA002,2009-09-29,"Birgi, Trapani, Sicily, Italy, Italy",Italy,LICT,Trapani Birgi,Non-Fatal,Minor,EI-DWD,Boeing,737,No,2.0,,,0.0,0.0,0.0,171.0,,,,03-11-2020,171.0,0.0,1.0
67271,20091005X53525,Incident,ENG09RA019,2009-10-02,"Kuching, Malaysia",Malaysia,WBGG,Kuching International Airport,Non-Fatal,Minor,9M-MMR,Boeing,737,No,2.0,Turbo Fan,,0.0,0.0,0.0,149.0,,,,03-11-2020,149.0,0.0,1.0
67292,20091020X14635,Accident,ERA10CA022,2009-10-05,"Unknown, Argentina",Argentina,,,Non-Fatal,,N156DL,Boeing,767-3P6,No,2.0,Turbo Fan,,0.0,0.0,1.0,231.0,VMC,,"An inadvertent encounter with turbulence, which resulted in an injury to a flight cabin attendant.",25-09-2020,232.0,0.0,0.9956896551724138
67346,20091020X05636,Incident,OPS10IA001,2009-10-19,"Atlanta Hartsfield Intl. Apt. (KATL), GA",United States,KATL,Atlanta Hartsfield Internation,Non-Fatal,,N185DN,Boeing,767,No,2.0,Turbo Fan,,0.0,0.0,0.0,194.0,VMC,,"The flight crews failure to identify the correct landing surface due to fatigue. Contributing to the cause of the incident were (1) the flight crews decision to accept a late runway change, (2) the unavailability of the approach light system and the instrument landing system for the runway of intended landing, and (3) the combination of numerous taxiway signs and intermixing of light technologies on the taxiway.",30-04-2021,194.0,0.0,1.0
67349,20091028X64340,Incident,DCA10WA003,2009-10-19,"Manchester, United Kingdom",United Kingdom,RGCC,Manchester Airport,Non-Fatal,,G-CELI,Boeing,737,No,,,,0.0,0.0,0.0,102.0,,,,03-11-2020,102.0,0.0,1.0
67354,20091022X00120,Incident,DCA10IA001,2009-10-21,"Minneapolis, MN",United States,MSP,Minneapolis-St Paul Internatio,Non-Fatal,,N374NW,Airbus,A320,No,2.0,Turbo Fan,,0.0,0.0,0.0,152.0,,,The flight crew's failure to monitor the airplanes radio and instruments and the progress of the flight after becoming distracted by conversations and activities unrelated to the operation of the flight.,30-04-2021,152.0,0.0,1.0
67359,20091117X32151,Accident,DCA10RA010,2009-10-21,"Sharjah, Turks And Caicos",Turks And Caicos,SHJ,Sharjah International Airport,Fatal,Destroyed,ST-AKW,Boeing,707,No,,,,6.0,0.0,0.0,0.0,,,,03-11-2020,6.0,1.0,0.0
67364,20091028X65411,Incident,DCA10WA005,2009-10-22,"Budapest, Hungary",Hungary,LHSM,Budapest International Airport,Non-Fatal,,TC-SKD,Boeing,737,No,2.0,,,0.0,0.0,0.0,6.0,,,,03-11-2020,6.0,0.0,1.0
67382,20091030X64143,Accident,ERA10LA041,2009-10-26,"Pleasant Grove, NC",United States,,,Non-Fatal,,N935AT,Boeing,717-200,No,2.0,Turbo Fan,,0.0,1.0,1.0,120.0,VMC,,"The captain's excessive maneuver in response to a traffic alert and collision avoidance system (TCAS) alert, which resulted in a serious injury to a flight attendant. Contributing to the accident was the operator's inadequate TCAS training and guidance.",25-09-2020,122.0,0.0,0.9836065573770492
67388,20091029X02444,Accident,ERA10CA036,2009-10-27,"Atlanta, GA",United States,KATL,Hartsfield Atlanta Iternationa,Non-Fatal,,N825MH,Boeing,767-432ER,No,2.0,Turbo Jet,,0.0,0.0,1.0,11.0,IMC,,Unforecasted turbulence resulting in a flight attendant being injured.,25-09-2020,12.0,0.0,0.9166666666666666
67399,20091123X21949,Incident,ENG10WA005,2009-10-30,"Jakarta, Indonesia",Indonesia,WIII,Soekarno-Hatta Airport,Non-Fatal,Minor,PK-GGQ,Boeing,737,No,,,,0.0,0.0,0.0,56.0,,,,03-11-2020,56.0,0.0,1.0
67466,20091117X55556,Incident,CEN10IA053,2009-11-15,"Kansas City, MO",United States,MCI,Kansas City International,Non-Fatal,Minor,N924FR,Airbus,A319-111,No,2.0,Turbo Fan,,0.0,0.0,0.0,130.0,VMC,,The in-flight engine ingestion of one or more Lesser Snow Geese (Chen caerulescens caerulescens).,25-09-2020,130.0,0.0,1.0
67478,20091124X94107,Accident,DCA10FA012,2009-11-19,"New Market, WV",United States,,,Non-Fatal,,N209UA,Boeing,777-200,No,2.0,Turbo Fan,,0.0,1.0,1.0,198.0,IMC,,The flight crews inadvertent encounter with a small area of cumulous clouds at night that resulted in moderate to severe convectively induced turbulence.,25-09-2020,200.0,0.0,0.99
67484,20091121X55122,Accident,WPR10CA061,2009-11-21,"Deer Valley, AZ",United States,KDVT,Deer Valley,Non-Fatal,Substantial,N56099,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain directional control.,25-09-2020,1.0,0.0,0.0
67491,20091201X32546,Accident,CEN10CA060,2009-11-22,"St. Louis, MO",United States,1H0,Creve Couer Airport,Non-Fatal,Substantial,N5521N,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,A loss of engine power for undetermined reasons.,25-09-2020,2.0,0.0,1.0
67496,20100812X94317,Accident,ERA10WA416,2009-11-23,"Fazenida Liberdade, Brazil, Brazil",Brazil,,,Non-Fatal,Substantial,PT-VIF,Embraer,EMB-720,No,1.0,,Unknown,0.0,0.0,0.0,3.0,VMC,,,03-11-2020,3.0,0.0,1.0
67531,20100608X41922,Accident,DCA10WA067,2009-12-07,"George, South Africa",South Africa,FAGG,George Airport,Non-Fatal,Substantial,ZS-SJW,Embraer,EMB135,No,2.0,,,0.0,10.0,0.0,25.0,VMC,,,03-11-2020,35.0,0.0,0.7142857142857143
67550,20091214X41802,Incident,DCA10IA015,2009-12-14,"Charlotte, NC",United States,CLT,Charlotte Douglas Intl,Non-Fatal,Minor,N483A,Boeing,MD,No,2.0,,,0.0,0.0,0.0,115.0,IMC,,"The Captain's failure to initiate a go-around from a Category III approach when satisfactory tracking performance was not maintained below the required altitude resulting in excessive bank angle maneuvers at low altitude.
 
Factors contributing to the incident were:  The Captain's decision to execute a Category III autoland approach on a runway without rollout guidance contrary to company Flight Manual guidance, the Captain's decision to deviate from the Category III approach and continue it manually contrary to the company Operating Manual, and the First Officer's failure to call for a go-around when the approach became unstable.",25-09-2020,115.0,0.0,1.0
67557,20100216X30255,Accident,DCA10WA028,2009-12-17,"Manaus, Brazil",Brazil,SBEG,"Manaus, Brazil",Non-Fatal,Minor,PR-MTL,Boeing,727,No,3.0,Turbo Fan,,0.0,0.0,0.0,3.0,,,,03-11-2020,3.0,0.0,1.0
67563,20091223X50505,Accident,DCA10CA018,2009-12-18,"Dallas, TX",United States,DFW,Dallas/Fort Worth Intl Airport,Non-Fatal,Substantial,N515AE,Bombardier,CL600-2C10,No,2.0,Turbo Fan,,0.0,1.0,0.0,3.0,VMC,,"The fueler's falling asleep in the fueling truck with the truck in neutral and without the parking brake set, which allowed the truck to roll until it impacted the airplane.",25-09-2020,4.0,0.0,0.75
67600,20100107X40353,Incident,DCA10WA019,2010-01-04,"Hahn, Germany",Germany,,"Hahn, Germany",Non-Fatal,Minor,EI-DAK,Boeing,737,No,2.0,,,0.0,5.0,0.0,148.0,,,,03-11-2020,153.0,0.0,0.9673202614379085
67623,20100112X10853,Incident,DCA10IA021,2010-01-10,"Newark, NJ",United States,KEWR,Newark,Non-Fatal,Minor,N816UA,Airbus,A319-131,No,2.0,Turbo Jet,,0.0,3.0,0.0,50.0,VMC,,"A mechanical failure of internal components of the right main landing gear door actuator resulting in the flight crew being unable to fully extend the right main landing gear using the normal and alternate procedures.

Contributing to this incident was a circular reference in the company Flight Manual in which the Landing Gear Gravity Extension checklist referred back to the Landing Gear Unsafe Indication After Extension checklist rather than the Landing Gear - Partial Gear or Gear Up Landing checklist.",25-09-2020,53.0,0.0,0.9433962264150944
67653,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600,CL-600
